AAB	ABELAG AVIATION	ABELAG
GFS	GULFSTREAM AIRLINES, INC. (SOUTH WINDSOR, CT)	GULFSTAR
GFV	GRUPO AERNAUTICO AFA, S.A. DE C.V.	GRUPO-AFA
GGA	FIRST FLYING SQUADRON, INC.	JAWJA
GGB	GLOBAL AIR	GLOBALAIR
GGC	CARGO 360, INC. (SEATTLE, WA)	LONG-HAUL
GGE	GOBIERNO DE LA REPUBLICA DE GUINEA ECUATORIAL	ECUATO GUINEA
GGF	GEORGIAN CARGO AIRLINES AFRICA S.A.	GEORGIAN AFRICA
GGG	GENESIS GLOBAL AVIATION LTD	GENESIS
GGL	GIRA GLOBO LDA.	GIRA GLOBO
GGN	PIVOT AIRLINES	GREAT NORTH
GGO	GO! AVIATION LTD.	GO BIRD
GGT	TRANS ISLAND AIRWAYS LTD.	THUNDERBALL
GHA	GROUP HOLDINGS AVIATION, LLC (FORT WORTH,TX)	SUTTER
GHB	GHANA INTERNATIONAL AIRLINES LIMITED	GHANA AIRLINES
GHF	GHANA AIRFORCE	GHANA AIRFORCE
GHK	VINTAGE WINGS OF CANADA	GOLDEN HAWK
GHL	GUILIN GENERAL AVIATION COMPANY, LTD.	GUILIN ROTOR
GHN	AIR GHANA	AIR GHANA
GHP	COLVIN AVIATION, INC. (ATHENS, GA)	GRASSHOPPER EX
GHS	GATARI AIR SERVICE, PT.	GATARI
GHY	GERMAN SKY AIRLINES GMBH, DUESSELDORF	GERMAN SKY
GIA	GARUDA INDONESIA AIRWAYS, PT.	INDONESIA
GIB	GR-AVIA-SA	GRAVIA
GIC	COMPAGNIE DE BAUXITES DE GUINEE	CEBEGE
GID	GRUPO INTEGRACION COMERCIALIZACION Y SERVICIOS, S.A. DE C.V.	INTECOM
GIF	EAGLE AIR GUINEE, S.A.	EAGLEAIR GUINEE
GIO	GIO D.O.O.	GIO-AVIA
GIP	AIR GUINEE EXPRESS S.A.	FUTURE EXPRESS
GIR	AIR GUINEE INTERNATIONAL	GUINEA INTERNATIONAL
GIS	SOUTH RIVERS AIRLINES	GUINEE SOUTHRIVERS
GIU	MANO RIVER AIRLINES	MANO GUINEE
GIW	BRISE AIR	BRISEAIR GUINEE
GIX	GALEX-GUINEE	GALEX-GUINEE
GIY	PROBIZ GUINEE SARL	PROBIZ
GJA	1590877AB DBA NORTHSTAR AIR TOURS LTD	GREY JAY
GJB	TRANS-AIR-LINK CO. (MIAMI, FL)	SKY TRUCK
GJE	GLOBAL AIR CHARTERS (TETERBORO, NJ)	GLOBAL JETS
GJH	GUINEE AIR CARGO S.A.	GUINEE AIR
GJI	GAINJET IRELAND LTD	GAINSTAR
GJM	AIRHUB AIRLINES LIMITED	AIRHUB
GJS	GOJET AIRLINES, LLC. (ST. LOUIS, MO)	LINDBERGH
GJT	GETJET AIRLINES, UAB	GETJET
GJW	GLOBAL JET ARUBA V.B.A.	PLATA
GKA	U S ARMY PARACHUTE TEAM	GOLDEN KNIGHTS
GKS	HANS AIRWAYS	SWARN
GKY	GAMA AVIATION (CAYMAN) SEZC	CAMA CAYMAN
GLA	GREAT LAKES AVIATION LTD (SPENCER, IA)	LAKES AIR
GLB	GLOBAL AIR COMPANY LIMITED LIABILITY PARTNERSHIP	GLOBAL
GLD	GOLDEN STAR AIR CARGO CO. LTD	GOLDEN STAR
GLE	GOLIAF AIR	GOLIAF AIR
GLF	GULFSTREAM AEROSPACE (SAVANNAH, GA)	GULFSTREAM TEST
GLG	AVIANCA-ECUADOR	GALAPAGOS
GLH	CHEVRON CORPORATION	GULFHAWK
GLJ	GLOBAL JET AUSTRIA GMBH	GLOBAL AUSTRIA
GLK	ASPAN AIRLINES JSC	KAZAK
GLL	AIR GEMINI, LDA	TWINS
GLM	AERO SERVICES MALI	GLOBAL MALI
GLO	GOL LINHAS AEREAS S.A.	GOL TRANSPORTE
GLP	GLOBUS	GLOBUS
GLQ	EL QUILADA INTERNATIONAL AVIATION CO. LTD	QUILADA
GLR	CENTRAL MOUNTAIN AIR LTD	GLACIER
GLS	RAF GLIDING SQUADRON (CONVENTIONAL)	SEDBURGH
GLT	AERO CHARTER, INC. (CHESTERFIELD, MO)	GASLIGHT
GLU	GREAT LAKES AIRWAYS (U) LTD	LAKES CARGO
GLV	GLOBAL AVANTI	AVANTI
GLX	GELIX AIRLINES	RUSSIAN BIRD
GLY	GALAXY AVIATION (PVT) LTD	GALAXY AVIATION
GMA	GAMA AVIATION LTD	GAMA
GMC	GENERAL MOTORS CORPORATION (YPSILANTI, MI)	GENERAL MOTORS
GMD	GULF MED AVIATION SERVICES LTD.	GULF MED
GME	GM HELICOPTERS 102 NE CO., LTD	GLOBE MERIDIAN
GMG	GM HELICOPTERS	GEE-EM HELICOPTERS
GMH	HUGHES FLYING SERVICE, INC. (MIAMI,FL)	HUGHES
GMI	GERMANIA FLUGGESELLSCHAFT MBH, KOELN	GERMANIA
GMJ	GAMISA AVIACION, S.L.	GAMISA
GML	G & L AVIATION	GEEANDEL
GMM	AEROTAXIS GUAMUCHIL, S.A. DE C.V.	AEROGUAMUCHIL
GMN	GARMIN, INC.	GARMIN
GMQ	GERMANIA EXPRESS FLUGGESELLSCHAFT MBH, SCHOENEFELD	CORGI
GMR	GOLDEN MYANMAR AIRLINES, PUBLIC COMPANY LTD	GOLDEN MYANMAR
GMS	GHADAMES AIR	GHADAMES
GMT	GRUPOAEREO MONTERREY, S.A. DE C.V.	GRUPOMONTERREY
GMX	GOLDEN AVIATION DE MEXICO, S.A. DE C.V.	GOLDEN MEXICO
GNA	SERVICIOS AEREOS GANA, S.A. DE C.V.	SERVIGANA
GNC	GUINEA CARGO	GUINEA CARGO
GND	GRAND AIRWAYS, INC. (LAS VEGAS, NV)	GRAND VEGAS
GNF	GREEN FLAG AVIATION CO.LTD	GREEN FLAG
GNH	GENSHIN	GENSHIN
GNJ	GAIN JET AVIATION S.A.	GAIN JET
GNR	GAMBIA INTERNATIONAL AIRLINES LTD	GAMBIA INTERNATIONAL
GNX	GENEX LTD	AEROGENEX
GNY	GERMAN NAVY	GERMAN NAVY
GNZ	GENERAL AVIATION SERVICES LTD.	GONZO
GOA	ALBERTA GOVERNMENT	ALBERTA
GOB	DASH AVIATION LTD	PILGRIM
GOC	GEOCUBA	GEOCUBA
GOF	GOF-AIR, S.A. DE C.V.	GOF-AIR
GOJ	EUROJET AVIATION LTD	GOJET
GOL	CARGOLAAR CC	CARGOLAAR
GOM	GOMEL AIRLINES	GOMEL
GOP	GOSPA AIR, S.A.DE C.V.	GOSPA AIR
GOS	GOLDEN SKY AIRLINE	GOLDEN SKY
GOT	WALTAIR I LINKOPING AB	GOTHIC
GOW	GO AIRLINES (INDIA) PRIVATE LIMITED	GOAIR
GOZ	GROZNYY AVIA JSC	GROZNYY AVIA
GPA	KINGMAN AVIATION, INC. D/B/A GOLDEN PACIFIC AIRLINES (KINGMAN, AZ)	GOLD PAC
GPC	GULF PEARL AIR LINES	AIR GULFPEARL
GPD	TRADEWIND AVIATION LLC (OXFORD, CT)	GOODSPEED
GPH	MYASISCHEV PILOT ENGINEERING PLANT	GEOPHYSICA
GPL	GESPLANE SERVICIOS AEREOS, S.L.	GESPLANE
GPM	GRUP AIR-MED S.A.	GRUPOMED
GPO	NORTHERN AVIATION LTD	GOOSEPOOL
GPR	GPM AEROSERVICIO, S.A. DE C.V.	GPM AEROSERVICIO
GPX	GP AVIATION LTD.	IVORY
GRA	GUARDIAN AIR ASSET MANAGEMENT (PTY) LTD	FLEX
GRB	PHOENIX AIR GROUP, INC. (CARTERSVILLE, GA)	GRAY BIRD
GRC	GRACE FLIGHT OF AMERICA (ADDISON,TX)	GRACE FLIGHT
GRD	NATIONAL GRID CO	GRID
GRE	GREENLANDCOPTER A/S	HELIX
GRF	GRYPHON AIRLINES SA (PTY) LTD	SIMBA
GRG	GRYPHON AIR CARGO LLC	LELO
GRL	AIR GREENLAND A/S	GREENLAND
GRM	ARIZONA STATE GOVERNMENT, COCHISE COUNTY SHERIFF	GERONIMO
GRN	GRANDE AVIATION	GRANDE
GRO	LINEAS AEREAS ALLEGRO, S.A. DE C.V.	ALLEGRO
GRP	GRYPHON AIR, LLC	AIR FOX
GRR	AGROAR - TRABALHOS AEREOS LDA.	AGROAR
GRV	EPSILON AVIATION S.A.	EPSILON
GRX	AIRCOMPANY GRODNO	GRODNO
GRY	NEW YORK STATE POLICE (ALBANY, NY)	GRAY RIDER
GRZ	GOVERNMENT OF ZAMBIA COMMUNICATIONS FLIGHT (AIRCRAFT)	COM FLIGHT
GSA	GARDEN STATE AIRLINES, INC. (SHREWSBURY, NJ)	GARDEN STATE
GSB	GADING SARI AVIATION SERVICES SDN BHD	GADING SARI
GSC	GRANDSTAR CARGO INTERNATIONAL AIRLINES CO., LTD	GRANDSTAR CARGO
GSE	GOOSE AIR	GOOSE
GSF	AERONAVES EJECUTIVAS GSF, S.A. DE C.V.	AERO GESEF
GSH	GAMA AVIATION FZC	GAMAMENA
GSI	GOVERNMENT OF THE REPUBLIC OF SLOVENIA	SLOVENIA
GSJ	G-JET	GROSSJET
GSK	GLOBAL SKY AIRCHARTER CORPORATION (FT. LAUDERDALE, FL)	GLOBAL SKY
GSL	GEOGRAPHIC AIR SURVEYS LTD.	SURVEY-CANADA
GSM	GESTAIR AVIATION MALTA	GESTAIR MALTA
GSO	GLOBAL FLIGHT SOLUTIONS LTD	SKY WALKER
GSP	GLOBAL FLIGHT SCHOOL	GLOBAL SCHOOL
GSS	GSS AIRLINE S.R.L	CARGO BIRD
GST	GLOBAL SUPERTANKER	SUPERTANK
GSW	CHAIR AIRLINES AG	EIGER
GSY	DEVINAIRE, LLC	GRAY SKY
GTA	CITY AIRWAYS CO. LTD	CITY AIRWAYS
GTC	ALTIN HAVAYOLU TASIMACILIGI TURIZM VE TICARET A.S.	GOLDEN WINGS
GTF	ELJ AVIATION LLC (SANFORD,FL)	GATOR FLIGHT
GTH	GENERAL AVIATION FLYING SERVICES (TETERBORO, NJ)	GOTHAM
GTI	ATLAS AIR, INC. (JAMAICA, NY)	GIANT
GTP	AEROTAXI GRUPO TAMPICO, S. A. DE C.V.	GRUPOTAMPICO
GTR	GALISTAIR TRADING LIMITED	GALISTAIR
GTS	GROUPE TRANSAIR	TRANSGROUP
GTV	EMPRESA DE AVIACION AEROGAVIOTA, S.A.	GAVIOTA
GTW	AMERICAN AIR CHARTER, INC. (CHESTERFIELD, MO)	GATEWAY
GTX	GTA AIR, INC. (LANCASTER, TX)	BIG-DEE
GUA	AEROTAXIS DE AGUASCALIENTES, S.A. DE C.V.	AGUASCALIENTES
GUC	PUER GENERAL AVIATION CO., LTD	LEAF AIR
GUE	AERO SERVICIO GUERRERO, S.A. DE C.V.	AERO GUERRERO
GUG	EMPRESA GUATEMALTECA DE AVIACION (AVIATECA)	AVIATECA
GUJ	GUJARAT AIRWAYS	GUJARATAIR
GUL	GULL AIR (SO. YARMOUTH, MA)	GULL-AIR
GUM	GUM AIR N.V.	GUM AIR
GUN	GRANT AVIATION, INC. (ANCHORAGE, AK)	HOOT
GUP	GEARUP	GEAR-UP
GUS	GUJA, S.A. DE C.V.	GUJA
GUY	AIR GUYANE SP.	GREEN BIRD
GVA	GRUPO AERONAUTICO OVA, S.A. DE C.V.	GRUPOVA
GVN	GAVINA	GAVINA
GVY	GRAVITY	GRAVITY
GWA	GREAT WESTERN AIR, INC. (SAN DIEGO, CA)	G-W AIR
GWC	GULF WINGS	GULF WINGS
GWG	GREEN AFRICA AIRWAYS LIMITED	GREEN AFRICA
GWH	GULF WING AVIATION LTD	JUPITER
GWI	GERMANWINGS GMBH, KOELN	GERMAN WINGS
GWL	GREAT WALL AIRLINES CO., LTD	GREAT WALL
GWR	AURA AIRLINES SL (GOWAIR)	LEMON
GWS	GENERAL AIRWAYS	GENAIR
GWY	USA 3000 AIRLINES (NEWTOWN SQUARE, PA)	GETAWAY
GWZ	GOLDEN WINGS CHARTER (BAHAMAS)	SUN BURN
GXA	GLOBAL CROSSING AIRLINES	GEMINI
GXL	XL AIRWAYS GERMANY GMBH, MOERFELDEN-WALLDORF	STARDUST
GYG	SERVICEAIR	NATAKHTARI
GYP	EAGLE AVIATION	GYPSY
GYR	SNCF SURETE	GYROFER
GZP	GAZPROMAVIA	GAZPROM
GZR	AEROMANAGEMENT GROUP	GEZIRA
HAA	HELICOPTEROS AGROFORESTAL LTDA.	AGROFORESTAL
HAC	HELI SKY	HELI MOUNT
HAD	HAITI AVIATION S.A. D/B/A AIR D'AYITI	HAITI AVIA
HAE	KENMORE CREW LEASING, INC. (KENMORE,WA)	HOLLAND AIR
HAF	HELLENIC AIR FORCE	HELLENIC AIR FORCE
HAG	HAGELAND AVIATION SERVICES, INC. (ANCHORAGE, AK)	HAGELAND
HAH	HANHWA BUSINESS JET AIRLINES CO., LTD	HANMA
HAJ	AVIC JOY GENERAL AVIATION CO., LTD.	DINGCHANG
HAK	PEGASUS HELICOPTER AS	HELIFALCON
HAL	HAWAIIAN AIRLINES	HAWAIIAN
HAN	AUSHAANAIR LIMITED	KING BEE
HAO	HARTY AVIATION	HARTY
HAP	HELICOPTEROS AERO PERSONAL, S.A. DE C.V.	HELIPERSONAL
HAR	HARBOR AIRLINES (OAK HARBOR, WA)	HARBOR
HAS	AEROCARIBE DE HONDURAS, S. DE R.L. (HONDURAS AIR)	HONDURAS AIR
HAT	AIR HORIZONT	SKY RUNNER
HAU	SKYHAUL PTY LTD	SKYHAUL
HAV	HAVILAH AIR SERVICES	HAVILAH
HAW	BANGKOK AVIATION CENTER CO., LTD	THAI HAWK
HAX	BENAIR AS	SCOOP
HAY	HAYA AVIATION SERVICES LIMITED	HAYA
HBA	TRAIL LAKE FLYING SERVICE, INC. D/B/A HARBOR AIR (SEWARD, AK)	HARBOR AIR
HBC	HAITIAN AVIATION LINE S.A.	HALISA
HBH	HEBEI AIRLINES CO., LTD	HEBEI AIR
HBN	HIBERNIAN AIRLINES	FINCH
HBR	HEBRIDEAN AIR SERVICES	HEBRIDEAN
HBT	POLIZEIHUBSCHRAUBERSTAFFEL THUERINGEN, ERFURT	HABICHT
HCA	LAKE HAVASU AIR SERVICE (LAKE HAVASU CITY, AZ)	HAVASU
HCB	HELENAIR (BARBADOS)	HELEN
HCC	HELI AND CO S.A.	HELIANCO
HCF	HELICOPTERFLIGHTS LTD	EAGLE
HCH	HELICOPTEROS DEL CARIBE, C.A. (HELICA)	HELICA
HCK	HELI-CHARTER LTD	HELI-CHARTER
HCL	HELENAIR CORPORATION LIMITED	HELENCORP
HCO	HEAVY LIFT CONGO	CONGO LIFT
HCP	HELICOPTER	HELI CZECH
HCR	1903 AVIATION	HIGH SCORE
HCS	HELICHARTER WALES LTD	HELIWALES
HCT	CAT HELICOPTERS S.L.	ROTORCAT
HCV	HALCYON AIR CABO VERDE	CREOLE
HCX	AEROCOM AVIATION OY	CITY COPTER
HDA	HONG KONG DRAGON AIRLINES (HDA)	DRAGON
HDC	HELICOPTEROS DE CATALUNA, S.A.	HELICATALUNA
HDI	HOTELES DINAMICOS, S.A. DE C.V.	DINAMICOS
HDL	HENDELL AVIATION OY	HENDELL
HDM	HARLEY-DAVIDSON MOTOR COMPANY	HOG
HDR	HELITRANS AS	HELITRANS
HEA	HELIAVIA-TRANSPORTE AEREO, LDA	HELIAVIA
HEB	HELI BERNINA AG	HELIBERNINA
HEC	HELISERVICIO CAMPECHE, S.A. DE C.V.	HELICAMPECHE
HED	HERITAGE AVIATION DEVELOPMENTS LTD	FLAPJACK
HEE	HELIEJECUTIVO, S.A. DE C.V.	HELIEJECUTIVO
HEI	RICARDO HEIN B. (AEROHEIN LTDA.)	AEROHEIN
HEL	HELICOL. HELICOPTEROS NACIONALES DE COLOMBIA	HELICOL
HEM	HELICO DE MEXICO SA DE CV	HECOMEX
HEN	HELICOPTEROS Y VEHICULOS NACIONALES AEREOS, S.A. DE C.V.	HELINAC
HEP	OSLO POLITIDISTRIKT, HELIKOPTERTJENESTEN	HELIPOLICE
HER	HERA FLIGHT	HERA
HES	HOLIDAY EUROPE	HOLIDAY EUROPE
HET	TAF HELICOPTERS S.A.	HELITAF
HEV	HELICOPTEROS EJECUTIVOS, S.A DE C.V.	HELIJECUTIVO
HEW	ASA HELI-WATER SP. Z.O.O.	HELIWATER
HEX	HONIARA CARGO EXPRESS	HONIARA CARGO
HEZ	ARROW AVIATION LTD	ARROW
HFA	AIR HAIFA LTD.	AIR HAIFA
HFD	BLUE CITY AVIATION LTD	HIGHFIELD
HFJ	SHENZHEN UNITED BUSINESS JET CO., LTD	PANGU
HFL	LEAF - LEASE & FLY LTD	LOADSTAR
HFM	HI FLY LTD	MOONRAKER
HFR	HELI FRANCE	HELIFRANCE
HFY	SPRINGJET S.A.	SKY FLYER
HGB	GREATER BAY AIRLINES COMPANY LIMITED	GREATER BAY
HGD	KOREA AEROSPACE UNIVERSITY	HANGDAE
HGE	MARTIN'S FAMOUS PASTRY SHOPPE, INC. (CHAMBERSBURG, PA)	HOAGIE
HGG	HI AIR	HI AIR
HGK	FIKA SALAAMA AIRLINES LTD	SALAAMA
HGM	PRIMA AIR SDN. BHD	MAHSURI
HGO	ONE AIR LIMITED	HAMPTON
HGR	HANGAR 8 LTD	HANG
HGT	GMJ AIR SHUTTLE, LLC (MCCLELLAN, CA)	HIGHTECH
HHA	ATLANTIC AIRLINES DE HONDURAS, S. DE R.L.	ATLANTIC HONDURAS
HHE	HELI-HOLLAND B.V.	HELI HOLLAND
HHG	HANERGY JET CO., LTD	HANERGY JET
HHH	H H HELICOPTERS LTD	CORINIUM
HHI	HAMBURG INTERNATIONAL	HAMBURGJET
HHN	HAHN AIR-LINES GMBH, DREIEICH	ROOSTER
HHP	HELENIA HELICOPTER SERVICE APS	HELENIA
HHS	HI-JET HELICOPTER SERVICES N.V.	HIJET
HIA	HELICOPTERS OF AMERICA, S.A. DE C.V.	HELIAM
HIB	HELIBRAVO AVIACAO, LDA.	HELIBRAVO
HIF	HELI-IBERICA FOTOGRAMETRIA S.L.	HIFSA
HIL	HELI-ALPES SA	HELI ALPES
HIM	HIMALAYA AIRLINES PVT. LTD.	HIMALAYA
HIN	HOLDING INTERNATIONAL GROUP, S.A. DE C.V.	HOLDING GROUP
HIP	STARSHIP, S.A. DE C.V.	STARSA
HJA	AIR HAITI	AIRHAITI
HJE	SERVICIOS EJECUTIVOS GOSA, S.A. DE C.V.	GOSA
HJI	SHIV AIR LIMITED	SHIV AIR
HJL	HAMLIN JET LTD	BIZJET
HJT	HELIJETIC AIR	HELTAIR
HKA	SUPERIOR AVIATION,INC.(IRON MOUNTAIN/KINGSFORD,MI)	SPEND AIR
HKB	HAWKER BEECHCRAFT CORPORATION (WICHITA,KS)	CLASSIC
HKC	HONG KONG AIR CARGO CARRIER	MASCOT
HKE	HONG KONG EXPRESS AIRWAYS LTD	HONGKONG SHUTTLE
HKG	GOVERNMENT FLYING SERVICE OF THE HONG KONG SPECIAL ADMINISTRATIVE REGION	HONGKONG GOVERNMENT
HKH	AIR-INVEST LTD	HAWKHUNGARY
HKI	WACHOVIA FLIGHT OPERATIONS D/B/A HAWKAIRE (CHARLOTTE, NC)	HAWKEYE
HKJ	HONGKONG JET	HONGKONG JET
HKL	HAK AIR LIMITED	HAK AIRLINE
HKN	JIM HANKINS AIR SERVICE, INC. (JACKSON, MS)	HANKINS
HKR	TOWER AVIATION MANAGEMENT LLC  DBA  A2V	DATA BIRD
HKS	CHC HELIKOPTER SERVICE AS	HELIBUS
HKV	INVERSIONES HUCAVEN C.A.	HUCAVEN
HKY	UNITED STATES GOVERNMENT, DEPARTMENT OF STATE INL/A	HERKY
HLA	HELLENIC ARMY	HELLENIC ARMY
HLC	HELICAP	HELICAP
HLE	UK HEMS	HELIMED
HLF	CENTRAL AIRLINES CO., LTD	HOMELAND
HLG	HELICAPITAL	HELICAPITAL
HLH	HALA AIR CO.	HALA AIR
HLI	HELI SECURITE	HELI SAINT-TROPEZ
HLJ	HELLO JETS S.R.L	HELLOJETS
HLK	HELI-LINK HELIKOPTER AG	HELI-LINK
HLL	HELICENTRE LIVERPOOL LTD	FUSION
HLM	HELI MIDWEST DE MEXICO, S.A. DE C.V.	HELIMIDWEST
HLP	HELIPISTAS S.L.	HELIPISTAS
HLR	HELI AIR SERVICES	HELI BULGARIA
HLT	HELITAFE, S.A. DE C.V.	HELITAFE
HLU	HELI UNION HELI PRESTATIONS	HELI UNION
HLV	HELISERVICIO, S.A. DE C.V.	SERVI HELI
HLW	HELIWORKS LTDA.	HELIWORKS
HLY	HELI AIR LTD	WHISPER
HMB	CHC GLOBAL OPERATIONS	HUMMINGBIRD
HMC	HELIAMERICA DE MEXICO, S.A. DE C.V.	HELIAMERICA
HMD	CHARLIE HAMMONDS FLYING SERVICE, INC. (HOUMA, LA)	HAMMOND
HME	HERMES AVIATION	HERGO
HMF	SJOFARTSVERKET	LIFEGUARD SWEDEN
HMJ	AS AILES LIMITED	HARMONY JETS
HML	HAMSAL AIR SERVICES LIMITED	HAMSAL
HMO	HELICOPTER OPERATIONS MEXICO, S. DE R.L. DE C.V.	HELI-CORP
HMP	PAPAIR TERMINAL S.A.	PAPAIR TERMINAL
HMR	GLOBAL REACH AVIATION	HAMMER
HMS	HEMUS AIR	HEMUS AIR
HMX	HAWK DE MEXICO, S.A. DE C.V.	HAWK MEXICO
HMZ	ZAFER HAVACILIK A.S (ZAFER AVIATION)	ARAS AIR
HNA	GREEK NAVY (HELLENIC NAVY)	HELLENIC NAVY
HND	HINTERLAND AVIATION PTY LTD	HINTERLAND
HNJ	SOUTHERN JET CO, LTD	SOUTHERN JET
HNL	CHC HELICOPTERS NETHERLANDS	MAPLELEAF
HNR	HAITI NATIONAL AIRLINES (HANA)	HANAIR
HNW	HONEYWELL INTERNATIONAL INC.	HONEYWELL
HNX	HAINAN AVIATION ACADEMY CO. LTD.	SUPERB
HOA	BALEARES LINK EXPRESS S.L.	HOLA
HOB	HL AIRCRAFT LLC	HOBBY JET
HOD	ALHODHOD AIRLINE	HODHOD
HOG	MAHOGANY AIR CHARTERS	HOGAN AIR
HOL	HOLIDAY AIRLINES, INC. (MORRISTOWN, NJ)	HOLIDAY
HOM	AERO HOMEX, S.A. DE C.V.	AERO HOMEX
HON	HONDA AIRCRAFT COMPANY, INC. (GREENSBORO,NC)	HONDA TEST
HOP	HOP!	AIR HOP
HOT	VALLETTA AIRLINES	SUNNY SKY
HOZ	HOZCA AVIATION S.A. DE C.V.	OZCA
HPA	PEARL AIRWAYS COMPAGNE HAITIENNE	PEARL AIRWAYS
HPE	IMPERATIVE PRODUCTIONS, LLC	HOPE AIR
HPJ	HOP-A-JET, INC. (FT. LAUDERDALE, FL)	HOPA-JET
HPK	HOPSCOTCH AIR, INC. (FARMINGDALE, NY)	HOPSCOTCH AIR
HPL	HELIPORTUGAL - TRABALHOS E TRANSPORTE AEREO, REPRESENTACOES, IMPORTACAO E EXPORTACAO, LDA	HELIPORTUGAL
HPN	AIRDIALOG	HARPOON
HPO	ALMIRON AVIATION LTD	ALMIRON
HPP	AVIATION PARTNER OF BOYTON BEACH, LLC D/B/A SKY ATLANTIC	SKY HOP
HPR	RICK LUCAS HELICOPTERS LTD	HELIPRO
HPS	HORIZON PLUS LIMITED	HORIZON PLUS
HPY	HAPPY AIR TRAVELLERS CO., LTD	HAPPY TRAVEL
HRA	HELI-IBERICA, S.A.	ERICA
HRB	HAITI INTERNATIONAL AIRLINE	HAITI AIRLINE
HRC	HARCO AVIATION (HOUSTON,TX)	HARCO
HRD	MARSHALL UNIVERSITY BILL NOE FLIGHT SCHOOL	MARSHALL HERD
HRE	FFH SUEDWESTDEUTSCHE VERKEHRSFLIEGERSCHULE,FREIBURG	HART AIR
HRF	VETERANS AIRLIFT COMMAND (ST.LOUIS PARK,MN)	HERO-FLIGHT
HRM	HERMES AIRLINES S.A.	HERMES
HRN	HERON LUFTFAHRT GMBH & CO. KG, WALDSHUT-TIENGEN	HERONAIR
HRS	PURSUIT AVIATION	HORSEMEN
HRT	CHARTRIGHT AIR INC.	CHARTRIGHT
HRV	AIRINTER1	SAHARA-SERVICE
HRZ	CROATIAN AIR FORCE (HRVATSKO RATNO ZRAKOPLOVSTVO)	CROATIAN AIRFORCE
HSA	EAST AFRICAN SAFARI AIR LIMITED	DUMA
HSE	HELISCAN AS	HELISCAN
HSF	HANSEO UNIVERSITY	HAN-SEO FLIGHT
HSG	HESNES AIR AS	SKY DOLPHIN
HSH	HISPANICA DE AVIACION S.A.	HISPANICA
HSI	SWISS HELICOPTER AG	HELISWISS
HSJ	HEBEI HONGSHENG JET CO., LTD	BAOSHENG
HSK	HALLA SKY AIR	HALLA SKY
HSM	HELICOPTER SERVICE MALTA LIMITED	HELIMALT
HSN	H.S AVIATION CO, LTD	JAGUAR
HSO	HELI SERVICE INTERNATIONAL GMBH, BREMERHAVEN	HELISERVICE
HSR	HELISTAR	HELISTAR
HSS	COMPANIA TRANSPORTES AEREOS DEL SUR, S.A.	TAS HELICOPTEROS
HST	HESTON AIRLINES, UAB	HESTON
HSU	HELISUL	HELIS
HSV	HELISERVICES (HK) LTD	VERTIFLIGHT
HSW	HELISWISS IBERICA, S.A.	HELIBERICA
HSY	SKY HELICOPTEROS S.A.	HELISKY
HTA	HELI TRANSAIR EUROPEAN AIR SERVICES GMBH	HELI TRANSAIR
HTB	HELIX-CRAFT AVIATION	HELIX-CRAFT
HTC	HAITI TRANS AIR S.A.	HAITI TRANSAIR
HTE	MIDWEST HELICOPTERS DE MEXICO, S.A. DE C.V.	HELICOPTERSMEXICO
HTG	GROSSMANN AIR SERVICE BEDARFSLUFTFAHRTSUNTERNEHMEN GMBH & CO. KG.	GROSSMANN
HTH	HELITT LINEAS AEREAS, S.A.	ALBORAN
HTI	HAITI INTERNATIONAL AIR S.A.	HAITI INTERNATIONAL
HTK	NINGXIA CARGO AIRLINES CO. LTD.	LINGBIRD
HTL	MY FAIR JET GMBH	HOTLINE
HTM	HTM HELICOPTER TRAVEL MUNICH GMBH, MUENCHEN	HELITRAVEL
HTP	HALA AIR	HALA EXPRESS
HTR	HOLSTENAIR, LUFTVERKEHRSSERVICE GMBH & CO. BETRIEBS-KG, LUEBECK	HOLSTEN
HTS	HELISTAR SAS	HELISAS
HTT	AIR TCHAD, SOCIETE DE TRANSPORTS AERIENS	HOTEL TANGO
HTU	YUNNAN HONGTU AIRLINES CO. LTD.	HONG LAND
HTY	GLOBAL AERONAUTICS SOLUTIONS CORP, S.L.	HELITY
HUB	HUB AIRLINES, INC. (FT. WAYNE, IN)	HUB
HUC	AEROLINEAS DE TEHUACAN, S.A. DE C.V.	LINEAS TEHUACAN
HUE	HAUTE AVIATION	HAUTE
HUF	HUNGARIAN AIRFORCE	HUNGARIAN AIRFORCE
HUN	SOLYOM HUNGARIAN AIRWAYS AIR SERVICE AND TRADING LTD	HUNGARIAN
HUR	MIAMI AIR CHARTER (MIAMI, FL)	HURRICANE CHARTER
HUS	HEUSSLER AIR SERVICE CORP (BUFFALO, NY)	HEUSSLER
HUT	AEROTRANSPORTES HUITZILIN, S.A. DE C.V.	AEROHUITZILIN
HUY	AERO TRANSPORTES DEL HUMAYA, S.A. DE C.V.	AERO HUMAYA
HVK	TURKISH AIR FORCE	TURKISH AIRFORCE
HVN	HANG KHONG VIET NAM	VIET NAM AIRLINES
HVY	SKY BUS S.A.C.	LIFT PERU
HWA	HILLWOOD AIRWAYS LLC	HILLWOOD
HWD	HPM INVESTMENTS LTD	FLITEWISE
HWH	HELICOPTER WORLD	HELIWORLD
HWK	FIREHAWK HELICOPTERS, INC.	FIREHAWK
HWS	STORM HELIWORKS	STORM
HXA	CHINA EXPRESS AIRLINES CO., LTD	CHINA EXPRESS
